name,tag,address,tel,url
Hyssop(GOOD NATURE STATION),飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 4階,075-352-3728,https://goodnaturestation.com/restaurant/hyssop/
NEMOHAMO(GOOD NATURE STATION),その他小売業,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 3階,075-352-3712,https://goodnaturestation.com/
KA SO KE KI(GOOD NATURE STATION),雑貨店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 3階,075-352-3712,https://goodnaturestation.com/shop/kasokeki/
RAU CAFE（GOOD NATURE STATION）,飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番GOOD NATURE STATION 3階,075-352-3712,https://goodnaturestation.com/restaurant/rau_cafe/
BUONAGIO（GOOD NATURE STATION）,飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番GOOD NATURE STATION 2階,075-341-3588,https://goodnaturestation.com/restaurant/buonagio/
GOOD NATURE HOTEL KYOTO スーベニア,雑貨店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番GOOD NATURE STATION 4階,075-352-6730,https://goodnaturehotel.jp/
MARKETKITCHEN（GOOD NATURE STATION）,飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番GOOD NATURE STATION 1階,075-352-3712,https://goodnaturestation.com/shop/market/
RAU（GOOD NATURE STATION）,飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番GOOD NATURE STATION 1階,075-352-3712,https://goodnaturestation.com/shop/rau/
麺屋優光  河原町店,飲食店,〒600-8022 京都府京都市下京区稲荷町３２９エリッツ四条河原町ビル1階,075-365-8818,
マスクプラザ四条店,その他小売業,〒600-8003 京都府京都市下京区四条通寺町東入ル御旅宮本町13-3,075-255-9704,https://www.telacoya.co.jp/
ビックカメラセレクト京都四条河原町店,家電販売店,〒600-8004 京都府京都市下京区奈良物町364  B1～2F,075-252-2111,
アルバ,雑貨店,"〒600-8004 京都府京都市下京区四条通麩屋町角日新火災ビル１F,２F",075-255-2300,
PLAZA京都四条店,雑貨店,〒600-8004 京都府京都市下京区四条通寺町西入奈良物町363,075-255-4433,
マツモトキヨシ京都四条通り店,ドラッグストア・調剤薬局,〒600-8004 京都府京都市下京区奈良物町359,075-211-9566,
福寿園京都本店地下1階「京の茶蔵」,その他小売業,〒600-8005 京都府京都市下京区立売東町19,050-3152-2900,
福寿園京都本店1階「京の茶舗」,その他小売業,〒600-8005 京都府京都市下京区立売東町19,050-3152-2901,
福寿園京都本店5階「京の茶具」,その他小売業,〒600-8005 京都府京都市下京区立売東町19,050-3152-2905,
福寿園京都本店2階「茶寮FUKUCHA 四条店」,飲食店,〒600-8005 京都府京都市下京区立売東町19,050-3152-2902,
ホテル日航プリンセス京都  宴会,飲食店,〒600-8096 京都府京都市下京区高橋町630番地ホテル日航プリンセス京都,075-342-2415,http://www.princess-kyoto.co.jp
井筒八ッ橋本舗日航プリンセス京都店,飲食料品店,〒600-8096 京都府京都市下京区高橋町630,075-361-8121,
ロイヤルボディコンシャスホテル日航プリンセス京都店,その他サービス業,〒600-8096 京都府京都市下京区烏丸高辻東入高橋町630-3番地ホテル日航プリンセス京都  5階,075-353-4145,
てくてく京都四条烏丸店,その他サービス業,〒600-8099 京都府京都市下京区上柳町319-3,075-205-3424,https://tekutekukyoto.com/
鉄板創作りあん,飲食店,〒600-8099 京都府京都市下京区上柳町（仏光寺通烏丸東入、仏光寺通烏丸東入上る、仏光寺通烏丸東入下る、328,075-741-8477,https://lien-kyoto.com/
香彩堂,雑貨店,〒600-8099 京都府京都市下京区烏丸通仏光寺東入ル上柳町３３５,075-344-6905,
豆乳とんしゃぶ 寅太郎,飲食店,〒600-8099 京都府下京区仏光寺通烏丸東入上柳町331タカノハスクエアB1,075-353-8885,
居酒屋ニュー烏丸,飲食店,〒600-8099 京都府京都市下京区仏光寺通烏丸東入ル上柳町315-19,075-746-5270,
フレスコ五条大橋店,スーパー,〒600-8101 京都府京都市下京区五条通寺町西入御影堂町１６－２１,075-468-9171,https://www.super-fresco.co.jp/
豊彩株式会社  屋号：京都着物レンタル夢館,その他サービス業,〒600-8103 京都府京都市下京区塩竈町353豊彩ビル,075-354-8515,https://www.kyoto.yumeyakata.com/
有限会社  俵屋,衣料・身の回り品取扱店,〒600-8011 京都府京都市下京区四条小橋東入橋本町107,075-221-2789,https://www.kyoto-wel.com/shop/S81017/index.html
HIGH  BALL  BAR  京都1923,飲食店,〒600-8011 京都府京都市下京区橋本町109サピエンス四条木屋町ビルB1,075-255-3444,http://c-and-d.net/bar_1923/
マツモトキヨシ京都四条河原町店,ドラッグストア・調剤薬局,〒600-8011 京都府京都市下京区橋本町103-2,075-253-6160,
彩席ちもと,飲食店,〒600-8012 京都府京都市下京区斎藤町１１６,075-651-1846,http://chimoto.jp/saiseki/
味浪漫  いしがま亭,飲食店,〒600-8012 京都府京都市下京区斎藤町135,075-344-3910,
東華菜館,飲食店,〒600-8012 京都府京都市下京区斎藤町140-2,075-221-1147,
スコルピオーネ  吉右  京都,飲食店,〒600-8012 京都府京都市下京区斎藤町１３３－１４０－１８,075-354-9517,https://kiwa-group.co.jp/scorpione_kitiu/
京料理ちもと,飲食店,〒600-8012 京都府下京区西石垣通り四条下る斎藤町140-5,075-351-1846,https://chimoto.jp
まんざら亭団栗橋,飲食店,〒600-8012 京都府京都市下京区西石垣通四条下ル斎藤町140高岡ビル1階,075-344-0280,
ファミリーマート四条木屋町南店,コンビニ,〒600-8012 京都府京都市下京区斎藤町119,075-353-3713,
観山,飲食店,〒600-8076 京都府京都市下京区泉正寺町465-2たかくらビル102,075-353-7357,http://kanzan-kyoto.com/
有限会社  市原平兵衞商店,その他小売業,〒600-8081 京都府京都市下京区堺町通四条下ル小石町 118-1,075-341-3831,
玻璃(HARI),飲食店,〒600-8082 京都府京都市下京区高倉通り四条下ル高材木町225-1Metro Miru Building  2階,075-371-0200,http://www.sparkling-hari.jp/
豚しゃぶ英,飲食店,〒600-8082 京都府京都市下京区高材木町226前田ビル2階,075-708-8366,https://shabushabu-hide.com/
まる福四条烏丸店,飲食店,〒600-8082 京都府京都市下京区高材木町220,075-746-6529,
京都四条高倉ホテルgrandereverie,その他小売業,〒600-8082 京都府京都市下京区高倉通四条下ル高材木町225番地,075-371-0012,http://grandereveriehotels.jp/takakura/
cafe marble 仏光寺店,飲食店,〒600-8083 京都府京都市下京区西前町378,075-634-6033,https://www.cafe-marble.com
ワイン厨房CHEERS,飲食店,〒600-8091 京都府京都市下京区東洞院通四条下ル元悪王子町55-2-1山一セントラルビル  Ｂ1,075-341-6603,http://mgfoods.co.jp/cheers/
楽仙樓,飲食店,〒600-8091 京都府京都市下京区元悪王子町37豊元ビル1F,075-351-4900,https://rakusenroh.jp
ホテル エムズ・エスト四条烏丸,その他小売業,〒600-8091 京都府京都市下京区元悪王子町41,075-353-5290,
葱屋平吉  はなれ  西木屋町,飲食店,〒600-8018 京都府京都市下京区市之町２４８,075-741-6168,https://kiwa-group.co.jp/negiya_hanare/
葱や平吉  高瀬川,飲食店,〒600-8018 京都府京都市下京区市之町２６０－４,075-342-4430,https://kiwa-group.co.jp/negiya_takasegawa/
御料理  辰むら,飲食店,〒600-8019 京都府京都市下京区船頭町197  1階,075-361-3020,
Cafe＆Bar POCHER,飲食店,〒600-8019 京都府京都市下京区船頭町237-5-2F,075-708-2675,
高瀬川くりお,飲食店,〒600-8019 京都府京都市下京区 船頭町237-1,075-344-2299,http://www.qulio.com/
京料理くりた,飲食店,〒600-8019 京都府京都市下京区船頭町234-3,075-344-0456,https://www.344-0456.com
あぶりや  四条河原町駅前店,飲食店,〒600-8021 京都府京都市下京区順風町305,075-344-4929,http://www.1dining.co.jp/
ERUTAN(GOOD NATURE STATION),飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 1階,075-352-3714,https://goodnaturestation.com/
CAINOYA(GOOD NATURE STATION),飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 1階,075-352-6677,https://goodnaturestation.com/restaurant/cainoya/
VELROSIER(GOOD NATURE STATION),飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 2階,075-744-6984,https://goodnaturestation.com/restaurant/velrosier/
TAKAYAMA(GOOD NATURE STATION),飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 2階,075-744-6865,https://goodnaturestation.com/restaurant/takayama/
鴨出汁中華そばROKU(GOOD NATURE STATION),飲食店,〒600-8022 京都府京都市下京区河原町通四条下ル2丁目稲荷町318番6GOOD NATURE STATION 2階,075-744-6984,https://goodnaturestation.com/restaurant/roku/
べんと工房四条河原町店,飲食料品店,〒600-8023 京都府京都市下京区富永町348エスリード河原町第3  1階,075-353-7888,http://www.extend.co.jp/bent-koubou/
ファミリーマート河原町仏光寺店,コンビニ,〒600-8023 京都府京都市下京区富永町３３８,075-353-1581,
京都着物レンタル京越  河原町店,その他サービス業,〒600-8024 京都府京都市下京区天満町456-25,075-341-2477,https://kyoetsu-gion.com/
セブン-イレブン京都河原町高辻店,コンビニ,〒600-8025 京都府京都市下京区清水町277番地,075-352-4488,
幸福堂  本店,飲食料品店,〒600-8026 京都府京都市下京区松川町388-2,075-341-8850,http://www.ko-fukudo.com
デイリーヤマザキ河原町松原店,コンビニ,〒600-8026 京都府京都市下京区松川町396コートウエショウ,075-344-1259,
レストラン  グラン  カフェ  フォション,飲食店,〒600-8027 京都府京都市下京区難波町406,075-751-7711,https://hotelfauchonkyoto.com/
ドラッグひかり河原町寺町店,ドラッグストア・調剤薬局,〒600-8028 京都府京都市下京区寺町通松原下る植松町７３３河原町ＮＮＮビル１Ｆ,075-353-1022,http://drug-hikari.co.jp
Len京都河原町  ,飲食店,〒600-8028 京都府京都市下京区植松町709,075-361-1177,https://backpackersjapan.co.jp/kyotohostel/
寺町美人,その他サービス業,〒600-8031 京都府京都市下京区貞安前之町662京都大神宮会館5階,075-708-7164,http://teramachi-bijin.com/
株式会社藤井大丸,百貨店,〒600-8031 京都府京都市下京区寺町通四条下る貞安前之町605番地,075-221-8181,https://www.fujiidaimaru.co.jp/
(株)四条センター,その他小売業,〒600-8031 京都府京都市下京区貞安前之町624番地,075-221-0108,
福寿園京都本店3階「メゾン・ド・マツダ福寿園」,飲食店,〒600-8005 京都府京都市下京区立売東町19,050-3152-2903,
福寿園京都本店4階「京の茶庵」,飲食店,〒600-8005 京都府京都市下京区立売東町19,050-3152-2904,
れすとらん松喜屋京都四条店,飲食店,〒600-8005 京都府京都市下京区立売東町SAKIZO PLAZAビル2F,075-252-0329,
ファミリーマート四条富小路店,コンビニ,〒600-8005 京都府京都市下京区四条通麩屋町西入立売東町14番地4,075-256-8124,
セブンイレブン四条麩屋町,コンビニ,〒600-8005 京都府京都市下京区四条麩屋町西入立売東町28サキゾープラザビル1F,075-251-7177,
ココカラファイン  四条烏丸店,ドラッグストア・調剤薬局,〒600-8006 京都府京都市下京区立売中之町１００,075-222-7330,
ファミリーマート四条堺町店,コンビニ,〒600-8006 京都府京都市下京区立売中之町89ライズビル四条高倉,075-353-4177,
叙々苑  游玄亭京都,飲食店,〒600-8006 京都府京都市下京区四条通高倉東入立売中之町83-1京都ゼロゲート7階,075-708-6089,https://www.jojoen.co.jp/shop/yugentei/kyoto/
パリミキ  四条烏丸店,メガネ・コンタクトレンズ・補聴器,〒600-8007 京都府京都市下京区四条通高倉西入立売西町７４番地１,075-211-8272,https://www.paris-miki.co.jp/store/1293.html
ファミリーマート四条高倉店,コンビニ,〒600-8007 京都府京都市下京区立売西町62,075-229-6610,
信州そば処そじ坊  四条烏丸FTスクエア店,飲食店,〒600-8008 京都府京都市下京区長刀鉾町20FＴスクエアB1F,075-212-1720,
くまざわ書店四条烏丸店,書籍文房具小売店,〒600-8008 京都府京都市下京区四条烏丸東入ル長刀鉾町２０四条烏丸ＦＴスクエアーＢ１,075-255-6800,
ダックス下京五条高倉店,ドラッグストア・調剤薬局,〒600-8104 京都府京都市下京区五条通東洞院東入万寿寺町154,075-353-5057,http://www.dacs-shimizu.jp/
フレスコ五条店,スーパー,〒600-8104 京都府京都市下京区五条通高倉西入ル万寿寺町１５０,075-468-9171,https://www.super-fresco.co.jp/
ドラッグストア  リブ,ドラッグストア・調剤薬局,〒600-8105 京都府京都市下京区松屋町438番地TANAXビル1階,075-361-2088,
カレーハウスCOCO壱番屋烏丸五条店,飲食店,〒600-8105 京都府京都市下京区松屋町  411,075-342-5185,
そば料理  蕎麦の実よしむら,飲食店,〒600-8105 京都府京都市下京区松屋町４２０番地,075-353-0114,https://yoshimura-gr.com/sobanomi/
ココカラファイン  新町店,ドラッグストア・調剤薬局,〒600-8108 京都府京都市下京区五条新町西入西錺屋町２１,075-344-5693,
川間食堂,飲食店,〒600-8111 京都府京都市下京区都市町141-2川間食堂,075-344-0917,
Sin -Dining＆Bar-,飲食店,〒600-8118 京都府京都市下京区平居町５５－２,075-746-4635,
割烹いいむら,飲食店,〒600-8119 京都府京都市本塩竈町532,090-7095-5163,
和食さと  京都五条店,飲食店,〒600-8119 京都府京都市下京区本塩竈町596和食さと京都五条店,075-342-0540,
ダニエルズルーチェ,飲食店,〒600-8126 京都府京都市下京区東塩小路町７２１−１京都タワービル北新館４F,075-708-7775,http://daniels.jp
葡萄酒堂,飲食店,〒600-8091 京都府京都市下京区元悪王子町47-12,075-708-8888,
京料理およね,飲食店,〒600-8092 京都府京都市下京区神明町230,075-351-2849,http://www.oyone.com
株式会社森田和紙,その他小売業,〒600-8095 京都府京都市下京区扇酒屋町298,075-341-0123,
株式会社のぞみ,その他サービス業,〒600-8095 京都府京都市下京区扇酒屋町２８４番地,075-351-9915,http://www.nzm.jp
都野菜賀茂  烏丸店,飲食店,〒600-8095 京都府京都市下京区扇酒屋町276,075-351-2732,https://nasukamo.net/
ギフトショップ和小路,飲食料品店,〒600-8096 京都府京都市下京区高橋町630,075-361-8121,
ホテル日航プリンセス京都  アンバーコート,飲食店,〒600-8096 京都府京都市下京区高橋町630番地ホテル日航プリンセス京都,075-342-2156,http://www.princess-kyoto.co.jp
ホテル日航プリンセス京都  嵯峨野,飲食店,〒600-8096 京都府京都市下京区高橋町630番地ホテル日航プリンセス京都,075-342-2163,http://www.princess-kyotp.co.jp
ホテル日航プリンセス京都  翡翠苑,飲食店,〒600-8096 京都府京都市下京区高橋町630番地ホテル日航プリンセス京都,075-342-2167,http://www.princess-kyoto.co.jp
ホテル日航プリンセス京都  豊園,飲食店,〒600-8096 京都府京都市下京区高橋町630番地ホテル日航プリンセス京都,075-342-2199,http://www.princess-kyoto.co.jp
ホテル日航プリンセス京都  ダーレー,飲食店,〒600-8096 京都府京都市下京区高橋町630番地ホテル日航プリンセス京都,075-342-2176,http://www.princess-kyoto.co.jp
JILL  by  JILLSTUART,衣料・身の回り品取扱店,〒600-8212 京都府京都市下京区烏丸通塩小路下る東塩小路町902,075-708-3461,https://store.saneibd.com/jillbyjillstuart
セブンイレブン京都東洞院七条店,コンビニ,〒600-8212 京都府京都市下京区塩小路町523,075-351-5132,
MilaOwen京都ポルタ店,衣料・身の回り品取扱店,〒600-8212 京都府京都市下京区塩小路町902ポルタ京都地下街店B１F,075-365-3323,
OGAWA COFFEE 京都駅中央口店,飲食店,〒600-8212 京都府京都市下京区塩小路通室町東入東塩小路町579-16ホテル法華クラブ京都１F,075-353-9940,https://www.oc-ogawa.co.jp/shop/
本格焼肉チファジャ  京都駅前店,飲食店,〒600-8212 京都府京都市下京区塩小路町517-2,075-341-1129,http://chifaja.com/
ゆば庄  京都駅店,飲食料品店,〒600-8214 京都府京都市下京区東塩小路高倉町8-3アスティ京都内,075-691-3136,
竈炊き立てごはん土井  京都駅八条口店,飲食店,〒600-8214 京都府京都市下京区東塩小路高倉町８－３ＪＲ東海新幹線京都駅１階アスティ京都「ASTY ROAD」内,075-634-8545,https://www.doishibazuke.co.jp/kamadopost/179/
永楽屋細辻伊兵衛商店  京都駅八条口店,雑貨店,〒600-8214 京都府京都市下京区東塩小路高倉町8-3JR京都駅構内1階  アスティロード内,075-661-2300,http://www.eirakuya.jp
原了郭  京都駅店,飲食店,〒600-8214 京都府京都市下京区東塩小路高倉町8-3JR東海新幹線京都駅1Fおもてなし小路内,075-661-9673,http://www.hararyoukaku.co.jp
松栄堂  薫々,その他小売業,〒600-8214 京都府京都市下京区東塩小路高倉町8-3京都駅八条口側１F アスティロード,075-693-5590,https://www.shoyeido.co.jp/shop-info/kunkun.html
kanra shop,その他小売業,〒600-8176 京都府京都市下京区北町190ホテルカンラ京都,075-344-3815,https://www.uds-hotels.com/kanra/kyoto/facilities/#kanrashop
THE KITCHEN KANRA ,飲食店,〒600-8176 京都府京都市下京区北町190ホテルカンラ京都  本館地下2階,075-344-3821,https://www.uds-hotels.com/kanra/kyoto/restaurant/#thekitchenkanra
鉄板料理 花六,飲食店,〒600-8176 京都府京都市下京区北町190ホテルカンラ京都  本館地下1階,075-344-3829,https://www.uds-hotels.com/kanra/kyoto/restaurant/#hanaroku
kanra lounge,飲食店,〒600-8176 京都府京都市下京区北町190ホテルカンラ京都  1階,075-344-3815,
セブンイレブン京都烏丸六条店,コンビニ,〒600-8176 京都府京都市下京区烏丸通り六条下がる北町182番地セブンイレブン京都烏丸六条店,075-343-6669,
スペインバル  Santres,飲食店,〒600-8177 京都府京都市下京区烏丸通五条下ル大坂町豊栄ビル101,075-351-2133,http://santreskyoto.com/
セブンイレブン烏丸五条店,コンビニ,〒600-8180 京都府京都市下京区東洞院通五条下る下万寿寺町500番地,075-371-3770,
ロリマー京都,飲食店,〒600-8187 京都府京都市下京区橋詰町143,075-366-5787,
ホテルイルヴェルデ京都,飲食店,〒600-8199 京都府京都市下京区万屋町333ホテルイルヴェルデ京都,075-354-0505,https://hotel-ilverde.com/
京都デニム,衣料・身の回り品取扱店,〒600-8208 京都府京都市下京区小稲荷町79-3,075-352-1053,https://kyoto-denim.com/
京都  中華料理  清華園  本店,飲食店,〒600-8131 京都府京都市下京区川端町11,075-351-8391,https://kyoto-seikaen.com/
ホテル エムズ・エスト七条,その他小売業,〒600-8136 京都府京都市下京区下三之宮町301,075-330-9330,
セブン-イレブン  京都七条大橋店,コンビニ,〒600-8138 京都府京都市下京区大宮町465,075-365-6039,
ロディソンホテル京都七条,飲食店,〒600-8141 京都府京都市下京区新日吉町137,075-371-3915,https://rodisson.jp/
松井薬局本店,ドラッグストア・調剤薬局,〒600-8146 京都府京都市下京区七条通河原町西入材木町478,075-371-4193,
kowloonsdimsum.club,飲食店,〒600-8148 京都府京都市下京区飴屋町253,075-353-0555,
Kyoto Hana Hostel,その他サービス業,〒600-8149 京都府京都市下京区粉川町２２９,075-371-3577,
レンタサイクル京都みやび屋,その他業種,〒600-8150 京都府京都市下京区上珠数屋町３２３番地,075-354-7060,https://k-miyabiya.jp/
